Código	Produto	Tipo	Valor Investido	Emissão	Vencimento	Dias Corridos	Dias Úteis	Taxa	Tipo Indexador	Preço Unitário	Quantidade	Valor Líquido	Rentabilidade Líquida	Rentabilidade Média	Liquidado?
EXEMPLO-0114	BANCO ATLÂNTICO CAPITAL S.A.	LCA	R$ 1.200,00	21/06/2024	30/05/2025	343	245	IPCA + 7,06%	INFLAÇÃO	R$ 60,00	20	R$ 1.333,38	11,115000000000	0,045367347	TRUE
EXEMPLO-0115	BANCO VÉRTICE BRASIL S.A.	LCA	R$ 26.700,00	09/07/2024	05/06/2025	331	237	CDI + 1,50%	PÓS-FIXADO	R$ 2.225,00	12	R$ 29.827,20	11,712359550562	0,049419239	TRUE
EXEMPLO-0116	BANCO ELO CAPITAL S.A.	LCI	R$ 3.514,17	21/05/2024	09/06/2025	384	274	13,25% a.a.	PRÉ-FIXADO	R$ 1.171,39	3	R$ 4.005,30	13,975704078061	0,051006219	TRUE
EXEMPLO-0117	BANCO PONTE S.A.	LCI	R$ 22.600,00	14/02/2023	11/06/2025	848	606	CDI + 1,31%	PÓS-FIXADO	R$ 1.506,67	15	R$ 29.898,11	32,292522123894	0,053287990	TRUE
EXEMPLO-0118	BANCO VÉRTICE BRASIL S.A.	CDB	R$ 14.100,00	26/01/2023	21/07/2025	907	647	IPCA + 7,69%	INFLAÇÃO	R$ 705,00	20	R$ 18.184,67	28,969290780142	0,044774793	TRUE
EXEMPLO-0119	BANCO PRISMA FINANCEIRO S.A.	LCA	R$ 25.600,00	23/10/2022	23/07/2025	1004	717	98,35% do CDI	PÓS-FIXADO	R$ 12.800,00	2	R$ 34.368,13	34,250507812500	0,047769188	TRUE
EXEMPLO-0120	BANCO ATLÂNTICO CAPITAL S.A.	LCI	R$ 13.501,54	06/08/2019	29/07/2025	2184	1560	110,07% do CDI	PÓS-FIXADO	R$ 2.700,31	5	R$ 27.535,55	103,943772340044	0,066630623	TRUE
EXEMPLO-0121	BANCO VÉRTICE BRASIL S.A.	LCA	R$ 12.958,63	05/09/2024	04/08/2025	333	237	11,90% a.a.	PRÉ-FIXADO	R$ 1.079,89	12	R$ 14.357,46	10,794582452003	0,045546761	TRUE
EXEMPLO-0122	BANCO VÉRTICE BRASIL S.A.	CDB	R$ 33.100,00	15/11/2024	17/08/2025	275	196	IPCA + 6,67%	INFLAÇÃO	R$ 6.620,00	5	R$ 35.355,85	6,815256797583	0,034771718	TRUE
EXEMPLO-0123	BANCO AURORA CAPITAL S.A.	CDB	R$ 2.300,00	14/02/2023	25/09/2025	954	682	104,96% do CDI	PÓS-FIXADO	R$ 575,00	4	R$ 2.977,77	29,468260869565	0,043208594	TRUE
EXEMPLO-0124	BANCO AURORA CAPITAL S.A.	LCA	R$ 4.900,00	18/07/2023	16/10/2025	821	587	124,62% do CDI	PÓS-FIXADO	R$ 4.900,00	1	R$ 6.621,22	35,126938775510	0,059841463	TRUE
EXEMPLO-0125	BANCO VÉRTICE BRASIL S.A.	LCA	R$ 47.008,17	24/11/2024	07/11/2025	348	249	IPCA + 6,39%	INFLAÇÃO	R$ 3.917,35	12	R$ 52.001,65	10,622579011265	0,042660960	TRUE
EXEMPLO-0126	COOPERATIVA SULCRED EXEMPLO	LCA	R$ 3.700,00	10/11/2023	14/11/2025	735	525	97,85% do CDI	PÓS-FIXADO	R$ 0,01	370000	R$ 4.585,57	23,934324324324	0,045589189	TRUE
EXEMPLO-0127	BANCO PONTE S.A.	CDB	R$ 3.694,42	23/11/2023	07/12/2025	745	532	IPCA + 5,02%	INFLAÇÃO	R$ 461,80	8	R$ 4.350,33	17,754072357772	0,033372316	TRUE
EXEMPLO-0128	BANCO ATLÂNTICO CAPITAL S.A.	LCI	R$ 36.549,99	03/06/2024	05/03/2026	640	458	IPCA + 7,40%	INFLAÇÃO	R$ 7.310,00	5	R$ 44.741,42	22,411579319174	0,048933579	TRUE
EXEMPLO-0129	BANCO ELO CAPITAL S.A.	LCA	R$ 3.344,65	21/01/2023	12/03/2026	1146	818	10,37% a.a.	PRÉ-FIXADO	R$ 1.114,88	3	R$ 4.558,26	36,285112044609	0,044358328	TRUE
EXEMPLO-0130	BANCO HORIZONTE DIGITAL S.A.	CDB	R$ 18.789,84	15/06/2022	29/03/2026	1383	988	98,70% do CDI	PÓS-FIXADO	R$ 3.131,64	6	R$ 26.814,51	42,707495114381	0,043226210	TRUE
EXEMPLO-0131	BANCO ORBE S.A.	LCA	R$ 3.126,79	18/11/2024	31/03/2026	498	356	104,30% do CDI	PÓS-FIXADO	R$ 3.126,79	1	R$ 3.649,02	16,701793212848	0,046915149	TRUE
EXEMPLO-0132	BANCO ATLÂNTICO CAPITAL S.A.	LCI	R$ 13.400,00	21/02/2024	18/04/2026	787	563	10,89% a.a.	PRÉ-FIXADO	R$ 0,01	1340000	R$ 16.743,02	24,947910447761	0,044312452	TRUE
EXEMPLO-0133	BANCO NOVA VIA S.A.	LCA	R$ 8.200,00	31/01/2022	26/04/2026	1546	1105	104,77% do CDI	PÓS-FIXADO	R$ 1.366,67	6	R$ 13.272,00	61,853658536585	0,055976162	TRUE
EXEMPLO-0134	BANCO HORIZONTE DIGITAL S.A.	LCA	R$ 3.200,00	04/08/2024	28/04/2026	632	451	130,04% do CDI	PÓS-FIXADO	R$ 533,33	6	R$ 4.072,68	27,271250000000	0,060468404	TRUE
EXEMPLO-0135	COOPERATIVA SULCRED EXEMPLO	CDB	R$ 17.100,00	07/05/2024	06/07/2026	790	564	13,49% a.a.	PRÉ-FIXADO	R$ 3.420,00	5	R$ 21.675,98	26,760116959064	0,047447016	TRUE
EXEMPLO-0136	BANCO PRISMA FINANCEIRO S.A.	LCA	R$ 8.000,00	07/02/2024	20/07/2026	894	638	111,14% do CDI	PÓS-FIXADO	R$ 666,67	12	R$ 10.738,55	34,231875000000	0,053654976	TRUE
EXEMPLO-0137	COOPERATIVA SULCRED EXEMPLO	LCI	R$ 20.500,00	30/01/2022	07/08/2026	1650	1179	CDI + 2,04%	PÓS-FIXADO	R$ 3.416,67	6	R$ 36.381,99	77,473121951219	0,065710875	TRUE
EXEMPLO-0138	BANCO PONTE S.A.	LCA	R$ 12.500,00	06/01/2024	11/09/2026	979	699	15,09% a.a.	PRÉ-FIXADO	R$ 2.083,33	6	R$ 18.113,64	44,909120000000	0,065274884	FALSE
EXEMPLO-0139	BANCO HORIZONTE DIGITAL S.A.	LCA	R$ 41.421,31	26/05/2024	27/09/2026	854	610	127,21% do CDI	PÓS-FIXADO	R$ 0,01	4142131	R$ 56.341,77	36,021217098156	0,061260573	FALSE
EXEMPLO-0140	BANCO PRISMA FINANCEIRO S.A.	LCA	R$ 3.000,00	16/05/2021	28/09/2026	1961	1400	12,62% a.a.	PRÉ-FIXADO	R$ 150,00	20	R$ 5.619,78	87,326000000000	0,063371553	FALSE
EXEMPLO-0141	BANCO HORIZONTE DIGITAL S.A.	CDB	R$ 10.700,00	02/02/2025	22/10/2026	627	448	11,24% a.a.	PRÉ-FIXADO	R$ 1.337,50	8	R$ 12.299,47	14,948317757009	0,036638034	FALSE
EXEMPLO-0142	BANCO AURORA CAPITAL S.A.	CDB	R$ 4.800,00	04/07/2023	07/12/2026	1252	894	16,96% a.a.	PRÉ-FIXADO	R$ 600,00	8	R$ 7.401,56	54,199166666667	0,065935726	FALSE
EXEMPLO-0143	BANCO PRISMA FINANCEIRO S.A.	LCA	R$ 3.186,07	15/12/2020	18/12/2026	2194	1568	101,86% do CDI	PÓS-FIXADO	R$ 159,30	20	R$ 5.988,87	87,970446349264	0,059159681	FALSE
EXEMPLO-0144	COOPERATIVA SULCRED EXEMPLO	CDB	R$ 8.375,09	01/09/2023	19/01/2027	1236	882	97,53% do CDI	PÓS-FIXADO	R$ 558,34	15	R$ 11.035,60	31,766942205994	0,040779130	FALSE
EXEMPLO-0145	BANCO HORIZONTE DIGITAL S.A.	CDB	R$ 10.060,66	29/01/2023	26/02/2027	1489	1064	11,14% a.a.	PRÉ-FIXADO	R$ 1.257,58	8	R$ 13.984,69	39,003703534361	0,041804613	FALSE
EXEMPLO-0146	BANCO PRISMA FINANCEIRO S.A.	CDB	R$ 3.200,00	24/05/2024	01/03/2027	1011	721	IPCA + 4,26%	INFLAÇÃO	R$ 266,67	12	R$ 3.781,19	18,162187500000	0,030835632	FALSE
EXEMPLO-0147	BANCO AURORA CAPITAL S.A.	CDB	R$ 1.421,41	15/12/2025	08/04/2027	479	343	100,11% do CDI	PÓS-FIXADO	R$ 710,71	2	R$ 1.511,29	6,323298696365	0,034553545	FALSE
EXEMPLO-0148	BANCO PRISMA FINANCEIRO S.A.	LCA	R$ 7.173,40	02/05/2024	18/04/2027	1081	772	10,83% a.a.	PRÉ-FIXADO	R$ 1.793,35	4	R$ 9.105,08	26,928374271615	0,044509710	FALSE
EXEMPLO-0149	BANCO SERRA AZUL S.A.	LCA	R$ 3.599,08	18/10/2025	01/05/2027	560	400	IPCA + 5,45%	INFLAÇÃO	R$ 899,77	4	R$ 3.911,32	8,675550418440	0,038903814	FALSE
EXEMPLO-0150	COOPERATIVA CREDIVALE EXEMPLO	CDB	R$ 1.800,00	02/05/2025	04/05/2027	732	522	111,26% do CDI	PÓS-FIXADO	R$ 150,00	12	R$ 2.055,72	14,206666666667	0,041298450	FALSE
EXEMPLO-0151	BANCO VÉRTICE BRASIL S.A.	LCA	R$ 12.800,00	21/02/2026	26/05/2027	459	327	IPCA + 6,97%	INFLAÇÃO	R$ 12.800,00	1	R$ 13.551,23	5,868984375000	0,044127702	FALSE
EXEMPLO-0152	BANCO VÉRTICE BRASIL S.A.	CDB	R$ 47.415,31	24/03/2024	01/06/2027	1164	831	IPCA + 4,83%	INFLAÇÃO	R$ 11.853,83	4	R$ 57.392,98	21,043139863474	0,033243507	FALSE
EXEMPLO-0153	BANCO VÉRTICE BRASIL S.A.	LCI	R$ 3.018,17	20/12/2023	03/06/2027	1261	901	127,13% do CDI	PÓS-FIXADO	R$ 1.006,06	3	R$ 4.354,18	44,265564895284	0,063146312	FALSE
EXEMPLO-0154	BANCO ELO CAPITAL S.A.	CDB	R$ 2.800,00	20/08/2020	06/07/2027	2511	1793	124,58% do CDI	PÓS-FIXADO	R$ 1.400,00	2	R$ 5.747,18	105,256428571429	0,067042311	FALSE
EXEMPLO-0155	BANCO PRISMA FINANCEIRO S.A.	LCA	R$ 38.523,49	30/08/2022	05/08/2027	1801	1287	IPCA + 4,26%	INFLAÇÃO	R$ 2.568,23	15	R$ 54.244,52	40,808945399288	0,039164055	FALSE
EXEMPLO-0156	BANCO ORBE S.A.	CDB	R$ 16.100,00	10/06/2020	10/09/2027	2648	1892	CDI + 1,79%	PÓS-FIXADO	R$ 5.366,67	3	R$ 32.124,33	99,530000000000	0,061400370	FALSE
EXEMPLO-0157	COOPERATIVA CREDIVALE EXEMPLO	LCA	R$ 3.518,24	11/11/2023	23/09/2027	1412	1008	10,83% a.a.	PRÉ-FIXADO	R$ 351,82	10	R$ 4.688,52	33,263222520351	0,045691240	FALSE
EXEMPLO-0158	BANCO SERRA AZUL S.A.	CDB	R$ 4.000,00	08/10/2020	27/09/2027	2545	1817	IPCA + 5,71%	INFLAÇÃO	R$ 2.000,00	2	R$ 6.707,21	67,680250000000	0,044091368	FALSE
EXEMPLO-0159	BANCO ORBE S.A.	LCA	R$ 9.300,00	29/09/2023	02/11/2027	1495	1067	107,74% do CDI	PÓS-FIXADO	R$ 4.650,00	2	R$ 13.065,28	40,486881720430	0,053342400	FALSE
EXEMPLO-0160	BANCO ELO CAPITAL S.A.	LCA	R$ 9.800,00	21/09/2021	22/12/2027	2283	1631	12,86% a.a.	PRÉ-FIXADO	R$ 1.225,00	8	R$ 17.794,84	81,580000000000	0,063387723	FALSE
EXEMPLO-0161	BANCO VÉRTICE BRASIL S.A.	LCA	R$ 2.498,14	02/02/2020	12/03/2028	2961	2115	14,00% a.a.	PRÉ-FIXADO	R$ 499,63	5	R$ 5.904,97	136,374662749085	0,079611595	FALSE
EXEMPLO-0162	BANCO ATLÂNTICO CAPITAL S.A.	LCI	R$ 1.200,00	13/04/2026	01/04/2028	719	515	IPCA + 8,35%	INFLAÇÃO	R$ 0,01	120000	R$ 1.256,80	4,733333333333	0,048299320	FALSE
EXEMPLO-0163	BANCO SERRA AZUL S.A.	LCI	R$ 10.311,27	24/05/2025	27/06/2028	1130	806	16,91% a.a.	PRÉ-FIXADO	R$ 1.288,91	8	R$ 12.553,51	21,745526981642	0,066297338	FALSE
EXEMPLO-0164	BANCO ATLÂNTICO CAPITAL S.A.	LCA	R$ 2.342,62	29/06/2020	16/09/2028	3001	2145	14,19% a.a.	PRÉ-FIXADO	R$ 390,44	6	R$ 5.305,18	126,463532284365	0,078646475	FALSE
EXEMPLO-0165	BANCO AURORA CAPITAL S.A.	CDB	R$ 4.441,82	21/01/2021	11/11/2028	2851	2037	IPCA + 8,66%	INFLAÇÃO	R$ 4.441,82	1	R$ 8.354,21	88,080786704549	0,060329306	FALSE
EXEMPLO-0166	BANCO ELO CAPITAL S.A.	LCA	R$ 28.100,00	12/12/2021	30/11/2028	2545	1818	IPCA + 7,71%	INFLAÇÃO	R$ 7.025,00	4	R$ 49.032,41	74,492562277580	0,060661696	FALSE
EXEMPLO-0167	BANCO PRISMA FINANCEIRO S.A.	LCI	R$ 11.700,00	24/08/2022	13/12/2028	2303	1645	9,31% a.a.	PRÉ-FIXADO	R$ 5.850,00	2	R$ 16.716,41	42,875299145299	0,040989770	FALSE
EXEMPLO-0168	BANCO HORIZONTE DIGITAL S.A.	LCA	R$ 7.300,00	04/10/2020	25/12/2028	3004	2145	IPCA + 7,14%	INFLAÇÃO	R$ 912,50	8	R$ 14.208,83	94,641506849315	0,061535440	FALSE
EXEMPLO-0169	BANCO ORBE S.A.	LCA	R$ 25.400,00	19/01/2024	10/01/2029	1818	1298	127,90% do CDI	PÓS-FIXADO	R$ 12.700,00	2	R$ 36.308,02	42,944960629921	0,063247365	FALSE
EXEMPLO-0170	BANCO PRISMA FINANCEIRO S.A.	LCA	R$ 45.400,00	14/05/2020	23/01/2029	3176	2268	104,10% do CDI	PÓS-FIXADO	R$ 9.080,00	5	R$ 92.416,76	103,561145374449	0,063147040	FALSE
EXEMPLO-0171	BANCO PRISMA FINANCEIRO S.A.	LCA	R$ 13.289,29	27/01/2026	06/03/2029	1134	810	IPCA + 5,80%	INFLAÇÃO	R$ 2.214,88	6	R$ 14.086,70	6,000395807451	0,039476288	FALSE
EXEMPLO-0172	BANCO ORBE S.A.	LCI	R$ 6.077,81	26/02/2024	15/03/2029	1844	1318	121,42% do CDI	PÓS-FIXADO	R$ 506,48	12	R$ 8.426,36	38,641385630679	0,059175169	FALSE
EXEMPLO-0173	BANCO VÉRTICE BRASIL S.A.	LCI	R$ 27.837,94	04/04/2023	03/04/2029	2191	1565	100,61% do CDI	PÓS-FIXADO	R$ 5.567,59	5	R$ 40.382,17	45,061631715565	0,050802291	FALSE
EXEMPLO-0174	BANCO HORIZONTE DIGITAL S.A.	LCA	R$ 7.948,84	11/07/2025	21/05/2029	1410	1006	12,66% a.a.	PRÉ-FIXADO	R$ 1.324,81	6	R$ 9.092,84	14,392037077108	0,048952507	FALSE
EXEMPLO-0175	COOPERATIVA CREDIVALE EXEMPLO	LCA	R$ 3.500,00	16/09/2020	08/06/2029	3187	2277	99,41% do CDI	PÓS-FIXADO	R$ 3.500,00	1	R$ 6.660,28	90,293714285714	0,058216450	FALSE
EXEMPLO-0176	BANCO NOVA VIA S.A.	CDB	R$ 7.100,00	08/11/2025	23/06/2029	1323	945	14,88% a.a.	PRÉ-FIXADO	R$ 710,00	10	R$ 7.766,16	9,382535211268	0,045108342	FALSE
EXEMPLO-0177	BANCO HORIZONTE DIGITAL S.A.	CDB	R$ 27.646,86	07/07/2022	16/08/2029	2597	1855	IPCA + 6,73%	INFLAÇÃO	R$ 2.764,69	10	R$ 41.069,84	48,551553413299	0,044955142	FALSE
EXEMPLO-0178	BANCO ORBE S.A.	CDB	R$ 2.004,97	15/03/2021	20/10/2029	3141	2245	IPCA + 8,73%	INFLAÇÃO	R$ 250,62	8	R$ 3.719,54	85,515992757996	0,060095568	FALSE
EXEMPLO-0179	BANCO SERRA AZUL S.A.	LCA	R$ 46.336,92	14/04/2022	25/10/2029	2751	1965	IPCA + 4,79%	INFLAÇÃO	R$ 15.445,64	3	R$ 68.904,51	48,703258654222	0,042722157	FALSE
EXEMPLO-0180	BANCO VÉRTICE BRASIL S.A.	CDB	R$ 11.155,92	30/01/2026	06/11/2029	1376	982	14,36% a.a.	PRÉ-FIXADO	R$ 3.718,64	3	R$ 11.868,15	6,384323300992	0,042847807	FALSE
EXEMPLO-0181	BANCO VÉRTICE BRASIL S.A.	CDB	R$ 21.490,02	30/04/2020	21/12/2029	3522	2516	IPCA + 7,17%	INFLAÇÃO	R$ 1.432,67	15	R$ 40.613,18	88,986236401827	0,053931052	FALSE
EXEMPLO-0182	BANCO PONTE S.A.	LCA	R$ 1.800,00	01/06/2023	28/12/2029	2402	1716	114,01% do CDI	PÓS-FIXADO	R$ 120,00	15	R$ 2.682,69	49,038333333333	0,058033531	FALSE
EXEMPLO-0183	BANCO HORIZONTE DIGITAL S.A.	LCA	R$ 9.400,00	08/07/2022	01/01/2030	2734	1952	111,21% do CDI	PÓS-FIXADO	R$ 2.350,00	4	R$ 15.465,08	64,522127659574	0,059798079	FALSE
EXEMPLO-0184	COOPERATIVA CREDIVALE EXEMPLO	LCA	R$ 1.900,00	04/12/2025	07/01/2030	1495	1067	16,35% a.a.	PRÉ-FIXADO	R$ 126,67	15	R$ 2.121,53	11,659473684211	0,061365651	FALSE
EXEMPLO-0185	BANCO ORBE S.A.	LCA	R$ 1.362,93	08/03/2026	13/01/2030	1407	1005	118,65% do CDI	PÓS-FIXADO	R$ 340,73	4	R$ 1.447,55	6,208682764339	0,050477096	FALSE
EXEMPLO-0186	BANCO HORIZONTE DIGITAL S.A.	CDB	R$ 4.800,00	30/04/2020	25/01/2030	3557	2541	IPCA + 5,24%	INFLAÇÃO	R$ 480,00	10	R$ 8.164,60	70,095833333333	0,042482323	FALSE
EXEMPLO-0187	COOPERATIVA SULCRED EXEMPLO	LCA	R$ 18.824,80	11/06/2020	10/02/2030	3531	2522	8,71% a.a.	PRÉ-FIXADO	R$ 3.137,47	6	R$ 31.618,69	67,962953125664	0,041952440	FALSE
EXEMPLO-0188	BANCO PONTE S.A.	LCI	R$ 10.506,75	16/06/2025	15/03/2030	1733	1239	13,02% a.a.	PRÉ-FIXADO	R$ 1.050,67	10	R$ 12.163,70	15,770338115973	0,050384467	FALSE
EXEMPLO-0189	BANCO PONTE S.A.	CDB	R$ 23.000,00	31/05/2024	04/06/2030	2195	1567	IPCA + 8,21%	INFLAÇÃO	R$ 3.833,33	6	R$ 29.195,59	26,937347826087	0,046125596	FALSE
EXEMPLO-0190	BANCO PRISMA FINANCEIRO S.A.	CDB	R$ 2.300,00	02/11/2024	06/06/2030	2042	1458	104,71% do CDI	PÓS-FIXADO	R$ 153,33	15	R$ 2.734,97	18,911739130435	0,039982535	FALSE
EXEMPLO-0191	BANCO AURORA CAPITAL S.A.	LCA	R$ 6.327,37	08/09/2020	05/07/2030	3587	2563	IPCA + 6,51%	INFLAÇÃO	R$ 421,82	15	R$ 11.985,93	89,429889511756	0,057437309	FALSE
EXEMPLO-0192	BANCO SERRA AZUL S.A.	LCA	R$ 11.432,63	15/04/2025	17/07/2030	1919	1371	13,23% a.a.	PRÉ-FIXADO	R$ 571,63	20	R$ 13.547,77	18,500904866159	0,051823263	FALSE
EXEMPLO-0193	BANCO ATLÂNTICO CAPITAL S.A.	LCA	R$ 46.400,00	19/05/2026	30/07/2030	1533	1095	9,52% a.a.	PRÉ-FIXADO	R$ 46.400,00	1	R$ 47.569,73	2,520969827586	0,035013470	FALSE
EXEMPLO-0194	BANCO AURORA CAPITAL S.A.	LCA	R$ 7.781,06	20/11/2025	16/10/2030	1791	1279	10,61% a.a.	PRÉ-FIXADO	R$ 778,11	10	R$ 8.406,43	8,037079780904	0,040185399	FALSE
EXEMPLO-0195	BANCO ELO CAPITAL S.A.	LCA	R$ 5.500,00	02/07/2024	17/10/2030	2298	1642	103,43% do CDI	PÓS-FIXADO	R$ 1.100,00	5	R$ 7.004,81	27,360181818182	0,048683598	FALSE
EXEMPLO-0196	BANCO HORIZONTE DIGITAL S.A.	LCA	R$ 29.121,47	01/09/2021	29/10/2030	3345	2389	108,62% do CDI	PÓS-FIXADO	R$ 4.853,58	6	R$ 52.368,87	79,829074562513	0,061359781	FALSE
EXEMPLO-0197	BANCO PONTE S.A.	LCA	R$ 2.818,68	25/03/2024	25/11/2030	2436	1740	IPCA + 6,38%	INFLAÇÃO	R$ 704,67	4	R$ 3.642,89	29,240992237501	0,046194301	FALSE
EXEMPLO-0198	BANCO SERRA AZUL S.A.	LCI	R$ 5.300,00	25/11/2022	15/01/2031	2973	2123	IPCA + 8,36%	INFLAÇÃO	R$ 265,00	20	R$ 8.451,13	59,455283018868	0,060730626	FALSE
EXEMPLO-0199	BANCO ATLÂNTICO CAPITAL S.A.	LCA	R$ 1.632,89	08/12/2021	13/02/2031	3354	2396	CDI + 1,27%	PÓS-FIXADO	R$ 108,86	15	R$ 2.878,53	76,284379229464	0,061969439	FALSE
EXEMPLO-0200	BANCO VÉRTICE BRASIL S.A.	CDB	R$ 3.700,00	27/04/2021	20/02/2031	3586	2562	130,24% do CDI	PÓS-FIXADO	R$ 246,67	15	R$ 7.175,51	93,932702702703	0,067480390	FALSE
EXEMPLO-0201	COOPERATIVA SULCRED EXEMPLO	LCI	R$ 4.223,12	09/12/2020	09/04/2031	3773	2695	15,03% a.a.	PRÉ-FIXADO	R$ 4.223,12	1	R$ 9.399,44	122,570990168406	0,082207237	FALSE
EXEMPLO-0202	BANCO ATLÂNTICO CAPITAL S.A.	LCA	R$ 3.787,96	15/01/2026	01/05/2031	1932	1380	122,22% do CDI	PÓS-FIXADO	R$ 1.262,65	3	R$ 4.106,13	8,399507914550	0,052496924	FALSE
EXEMPLO-0203	BANCO ELO CAPITAL S.A.	CDB	R$ 2.800,00	12/09/2024	05/07/2031	2487	1777	14,10% a.a.	PRÉ-FIXADO	R$ 280,00	10	R$ 3.479,48	24,267142857143	0,047582633	FALSE
EXEMPLO-0204	COOPERATIVA CREDIVALE EXEMPLO	LCI	R$ 3.100,00	15/05/2023	09/09/2031	3039	2171	7,80% a.a.	PRÉ-FIXADO	R$ 516,67	6	R$ 3.967,60	27,987096774194	0,032618994	FALSE
EXEMPLO-0205	BANCO ORBE S.A.	LCA	R$ 19.400,00	07/07/2022	30/09/2031	3372	2408	11,69% a.a.	PRÉ-FIXADO	R$ 6.466,67	3	R$ 30.659,36	58,037938144330	0,053738832	FALSE
EXEMPLO-0206	BANCO SERRA AZUL S.A.	CDB	R$ 20.200,00	20/11/2023	15/12/2031	2947	2105	IPCA + 4,99%	INFLAÇÃO	R$ 2.525,00	8	R$ 25.223,22	24,867425742574	0,034394780	FALSE
EXEMPLO-0207	BANCO ELO CAPITAL S.A.	CDB	R$ 34.733,96	27/03/2021	24/03/2032	4015	2867	122,96% do CDI	PÓS-FIXADO	R$ 11.577,99	3	R$ 65.659,46	89,035341780782	0,063011565	FALSE
EXEMPLO-0208	COOPERATIVA SULCRED EXEMPLO	CDB	R$ 9.900,00	25/10/2025	25/03/2032	2343	1673	CDI + 1,84%	PÓS-FIXADO	R$ 990,00	10	R$ 10.776,03	8,848787878788	0,040590770	FALSE
EXEMPLO-0209	BANCO SERRA AZUL S.A.	CDB	R$ 4.400,00	17/09/2022	26/04/2032	3509	2505	IPCA + 8,24%	INFLAÇÃO	R$ 880,00	5	R$ 6.738,71	53,152500000000	0,051704767	FALSE
EXEMPLO-0210	BANCO SERRA AZUL S.A.	LCI	R$ 2.700,00	22/12/2024	31/07/2032	2778	1985	11,74% a.a.	PRÉ-FIXADO	R$ 2.700,00	1	R$ 3.252,91	20,478148148148	0,046753763	FALSE
EXEMPLO-0211	BANCO NOVA VIA S.A.	LCA	R$ 1.500,00	26/01/2021	05/09/2032	4240	3029	109,48% do CDI	PÓS-FIXADO	R$ 750,00	2	R$ 2.907,98	93,865333333333	0,064423702	FALSE
EXEMPLO-0212	BANCO AURORA CAPITAL S.A.	LCA	R$ 8.600,00	08/10/2021	07/12/2032	4078	2912	126,78% do CDI	PÓS-FIXADO	R$ 430,00	20	R$ 16.718,59	94,402209302326	0,074099065	FALSE
EXEMPLO-0213	BANCO AURORA CAPITAL S.A.	CDB	R$ 32.699,19	01/05/2024	21/12/2032	3156	2254	9,75% a.a.	PRÉ-FIXADO	R$ 5.449,86	6	R$ 39.400,42	20,493565742760	0,033817765	FALSE
EXEMPLO-0214	COOPERATIVA CREDIVALE EXEMPLO	LCA	R$ 10.290,15	27/11/2023	28/02/2033	3381	2415	8,41% a.a.	PRÉ-FIXADO	R$ 1.286,27	8	R$ 12.847,55	24,852893300875	0,034614058	FALSE
EXEMPLO-0215	BANCO PRISMA FINANCEIRO S.A.	LCI	R$ 20.700,00	26/02/2024	04/06/2033	3386	2420	103,10% do CDI	PÓS-FIXADO	R$ 2.587,50	8	R$ 27.390,93	32,323333333333	0,049499745	FALSE
EXEMPLO-0216	BANCO PRISMA FINANCEIRO S.A.	LCA	R$ 4.400,00	02/08/2021	20/07/2033	4370	3122	13,58% a.a.	PRÉ-FIXADO	R$ 1.466,67	3	R$ 8.388,98	90,658636363636	0,068525046	FALSE
EXEMPLO-0217	BANCO VÉRTICE BRASIL S.A.	LCA	R$ 1.232,93	31/03/2022	18/08/2033	4158	2970	7,45% a.a.	PRÉ-FIXADO	R$ 1.232,93	1	R$ 1.692,37	37,264078252618	0,032403546	FALSE
EXEMPLO-0218	BANCO ELO CAPITAL S.A.	LCI	R$ 16.300,00	09/08/2023	23/08/2033	3667	2619	130,91% do CDI	PÓS-FIXADO	R$ 0,01	1630000	R$ 25.000,19	53,375398773006	0,067054521	FALSE
EXEMPLO-0219	BANCO PRISMA FINANCEIRO S.A.	CDB	R$ 2.100,00	29/10/2023	01/09/2033	3595	2568	113,70% do CDI	PÓS-FIXADO	R$ 350,00	6	R$ 2.841,82	35,324761904762	0,047865531	FALSE
EXEMPLO-0220	BANCO AURORA CAPITAL S.A.	CDB	R$ 12.200,00	23/05/2025	10/10/2033	3062	2186	121,05% do CDI	PÓS-FIXADO	R$ 1.220,00	10	R$ 13.999,65	14,751229508197	0,044836564	FALSE
EXEMPLO-0221	BANCO NOVA VIA S.A.	CDB	R$ 2.700,00	20/04/2025	25/05/2034	3322	2373	128,84% do CDI	PÓS-FIXADO	R$ 270,00	10	R$ 3.157,68	16,951111111111	0,048020145	FALSE
EXEMPLO-0222	BANCO ATLÂNTICO CAPITAL S.A.	LCI	R$ 2.286,88	27/08/2025	21/12/2034	3403	2431	124,57% do CDI	PÓS-FIXADO	R$ 457,38	5	R$ 2.614,25	14,315136780242	0,054847267	FALSE
